Reference
ILS 2280
"Jagenteufel 1958, no.3.3"
HD032704
"Banko, Sticotti 1895, 98ff"
Galsterer 1971
"Demicheli, Tončinić 2012"
Sanader Tončinić 2013
ILS 2478
ILS 5829
"Milošević 1998, 151"
"Demicheli 2011, 71-72 no. 1"
"Demicheli, Tončinić 2008"
HD039866
"Sanader 2000, figs 4 and 6"
"Sanader, Milćević Bradač, Demicheli 2007"
"Sanader, Milćević Bradač, Demicheli 2010"
"Hoffmann 1905, no.42"
"Wilkes 1969, 463"
"Fadić 1997, no.1"
HD058869
ILS 2252
"Hofmann 1905, no. 37"
HD062298
"Miletić 1989a, 102-106"
"Miletić 1990, 169"
HD034435
"BD-VAHD (37) 1914, no. 4657 A"
"BD-VAHD (11) 1888, no. 94"
"Miletić 1992, 27-34"
"Miletić 1989a, 66-71"
HD062488
"Fadić 1995, 163-187"
"Šegvić 1996, no. 31"
"Fadić 1997, no.7"
HD040156
HD060144
"Nedved 1992, no.7"
"Kurilić 1999, 1160"
"BD-VAHD (1) 1878, no.24"
HD058840
"Rendić-Miočević 1987, 226"
"Fadić 1997, no. 11"
"BD-VAHD (5) 1882, no.11"
"Wilkes 1969, 467"
HD062531
"Bulić 1885b, no. 311"
"Hoffmann 1905, no.46"
"Wilkes 1969, 460"
HD054710
"Marsić 2010, 67-78"
HD058380
"Hoernes 1880, 37-38"
"Bulić 1885b, no. 147"
"Patsch 1908, 111"
"Bojanovski 1988, no. 19"
"Bojanovski 1985, 90"
"Dodig 2005a, no. 1"
"Dodig 2006, no. 5"
ILS 2253
"Hofmann 1905, no. 43"
"Medini 1984, 108-109, no. 2"
HD058819
"Nedved 1992, no.8"
"Kurilić 1999, 1878"
HD060145
"Fadić 1997, no. 20"
HD034293
"BD-VAHD (26) 1903, no. 3321"
HD054723
"Marin et.al.1999, no.32"
"Wilkes 1969, 468"
"Bojanovski 1988, no. 27"
HD051071
"BD-VAHD (6) 1883, 82 no. 31"
"Patsch 1914, 167"
"Bojanovski 1988, no. 28"
"Dodig 2005a, no. 2"
HD058381
HD054808
"(IK) Inschriften griechischer Städte aus Kleinasien (19): Die Inschriften von Sestos und der thrakischen Chersones, Bonn, 1980: 00043"
"Wilkes 1969, 466"
"BD-VAHD (37) 1914, 65 no.4656A"
"Miletić 1990, 169-180"
HD034445
"CLE 1876 = Carmina Latina Epigraphica, hrsg. v. F. Bücheler - E. Lommatzsch, Leipzig 1930."
"BD-VAHD (31) 1908, 79 no. 3959 A"
"Rendić-Miočević 1987, 228"
"Fadić, 1997, no. 10"
HD034294
"Cambi 1994, 154-156"
"Cambi 2001, 84-85, 99"
HD039996
"Šegvić 1996, no. 25"
"BD-VAHD (1) 1878, 20"
"Fadić 1997, no. 3"
HD058848
HD060048
"Fadić 1994, no.4"
HD062415
"BD-VAHD (17) 1894, 4 no. 2"
"Patsch 1897b, no. 10"
"Wilkes 1969, 461"
"Fadić 1997, no. 18"
Tončinić 2007
HD058783
"BD-VAHD (11) 1888, 99 no.55"
"Wilkes 1969, 462"
"Fadić 1997, no. 12"
HD058787
ILS 7161
HD054720
HD062044
"BD-VAHD (20) 1897, 130 no.2368"
"Fadić 1997, no. 16"
HD022811
"Bojanovski 1988, 384"
HD053442
"Sanader, Tončinić 2013, 414"
HD035340 
"Bojanovski 1978, GodAkSarajevo 17, 68 n. 34. "
"Bojanovski 1977, GodAkSarajevo 15, 121-122; point, 2, 2"
HD035356 
"BD-VAHD (49) 1926/7, 142-144, no. 3"
ILS 0393
"Sanader, Tončinić 2013"
"IMS 2, 101"
"Paškvalin 1985, 120"
"Atanacković-Salčić 1981, 263-264 no. 2"
"Bojanovski 1988, 384 no. 35"
"Škegro 1997, 86 no. 3"
"Marin et.al. 2000, 510 no. 1"
"Dodig 2005a, 212 no. 8"
HD039805
"Patsch 1912, 131-133 no. 1"
"Cambi 1989, 47-48"
"Bojanovski 1988, 384 no. 36"
"Dodig 2005a, 211 no. 6"
HD034239
"Maršić 1997, 112-113 no.9"
"Maršić, Matijević 2000, 34-35 no.17"
HD039979
"BD-VAHD (1) 1878, 18"
"Hofmann 1905, 57-58 no.45"
"Medini 1984, 107-108 no.1"
"Fadić 1997, 81 no. 13"
HD054439
HD063842
"Maršić 2010, 65-67"
HD063843
"BD-VAHD (13) 1890, 5 no.3"
HD058032
"BD-VAHD (26) 1903, 193 no.3150"
HD033465
"BD-VAHD (23) 1900, 7 no. 2459"
"Fadić 1997, 81 no. 17"
HD028177
"Truhelka 1893, 673"
"Bojanovski 1985, 72-74 no.3"
"Dodig 2003, 235-237 no. 4, pl. III. figs. 1-2."
" Dodig 2005a, 212 no.10"
"Dodig 2005b, 205-206 pl.I fig. 1"
"Cambi 1986, 81ff"
"Cambi 1991, 61-72"
"Miletić 1992, 28, 33"
HD039727
"Fadić 1995, 168-172"
"Fadić 1997, 81 no.8"
"Šegvić 1996, 135-136 no. 32"
