MonumentID,CorpusName,Reference,MilitaryStatus
42,AE,"1996, 1215",veteran
14,CIL,"3, 2014",veteran
19,CIL,"3, 2022",veteran
22,CIL,"3, 2033",veteran
32,CIL,"3, 2019",veteran
33,CIL,"3, 14244/1",veteran
45,CIL,"3, 2041",veteran
62,CIL,"3, 2048",veteran
73,CIL,"3, 8764",veteran
82,CIL,"3, 8732",veteran?
98,CIL,"3, 12909",veteran
8,ILJug,"3, 2091",veteran?
59,ILJug,"3, 2280",veteran
78,ILJug,"3, 2600",veteran
