EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-31400694	CIL 03, 10181,2 (p 2328,178) = AE 1890, 00052	Dalmatia	Podgrade / Asseria	1	70	milites; sigilla impressa; tituli fabricationis	"Leg(io) VIII Aug(usta)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD054214;T184690 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD054214 | https://www.trismegistos.org/text/184690	44.0206698	15.6680389	http://www.trismegistos.org/place/28793		
EDCS-31400408	CIL 03, 13339,1 = AE 1893, 00007	Dalmatia	Podgrade / Asseria	1	70	milites; sigilla impressa; tituli fabricationis	"[Le]g(io) VIII [Aug(usta)]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD060547;T186065 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD060547 | https://www.trismegistos.org/text/186065	44.0206698	15.6680389	http://www.trismegistos.org/place/28793		
EDCS-28400159	CIL 03, 02908 (p 1635, 2273) = D 02280 = IGLFriuli 00013 = Horster p 396	Dalmatia	Zadar / Iader	18	19	Augusti/Augustae; milites; ordo senatorius; tituli operum; tria nomina; viri	Ti(berius) Caesar divi Aug(usti) f(ilius) / Augustus imp(erator) pontif(ex) max(imus) / trib(unicia) potest(ate) XX co(n)s(ul) III / leg(io) VII leg(io) XI / P(ublio) Cornelio Dolabella / leg(ato) pr(o) pr(aetore)	http://db.edcs.eu/epigr/partner.php?param=CO0047944;HD032704;T182222;lu_21501;de_01dessuoft%23page/459/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD032704 | https://www.trismegistos.org/text/182222 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0047944	44.119371	15.2313648	http://www.trismegistos.org/place/28796		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-59900031	Glandes 00038	Etruria / Regio VII	Perugia / Perusia	-41	-40	milites; tituli possessionis	"[L(egio)] VII
material: plumbum"	http://db.edcs.eu/epigr/partner.php?param=N123391;T249150 | https://www.trismegistos.org/text/249150 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR123391&partId=1	43.1107168	12.3908279	http://www.trismegistos.org/place/11854		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-59900032	Glandes 00039	Etruria / Regio VII	Perugia / Perusia	-41	-40	milites; tituli possessionis	"L(egio) VIII
material: plumbum"	http://db.edcs.eu/epigr/partner.php?param=N123392;T249102 | https://www.trismegistos.org/text/249102 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR123392&partId=1	43.1107168	12.3908279	http://www.trismegistos.org/place/11854		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-24900070	CIL 11, 06721,31 = ILLRP 01117a = Glandes 00037	Etruria / Regio VII	Trasimeno, Lago	-41	-40	milites; tituli possessionis	"L(egio) VII
material: lapis"	http://db.edcs.eu/epigr/partner.php?param=N123390;T249129 | https://www.trismegistos.org/text/249129 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR123390&partId=1	43.1295911	12.0946818	http://www.trismegistos.org/place/45433		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-74500202	Gomez-1925, p 47f	Hispania citerior	Leon / Legio / Legio VII Gemina	98	117	milites; sigilla impressa; tituli fabricationis	"[L(egio) VII] G(emina) Tra(iana)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=A31019	42.5987173	-5.5670839	http://www.trismegistos.org/place/26856		
EDCS-38100353	AE 2005, 01322a	Moesia inferior	Selanovtsi	44	70	milites; sigilla impressa; tituli fabricationis	"Legio VIII Augusta
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD065114;T192480 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD065114 | https://www.trismegistos.org/text/192480	43.6728327	23.9910856	http://www.trismegistos.org/place/36560		
EDCS-16300574	AE 1912, 00079	Moesia superior	Ram / Lederata	56	100	milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD028050;T192839 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD028050 | https://www.trismegistos.org/text/192839	44.8061108	21.341123	http://www.trismegistos.org/place/29629		
