EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-11300120	IIFDR 00288	Dacia	Cartier Celei / Sucidava			milites; sigilla impressa; tituli fabricationis	"L(egio) VII Cl(audia) s(ub) c(ura) [3]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T397214 | https://www.trismegistos.org/text/397214	43.768830	24.4565043	http://www.trismegistos.org/place/29841		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IIFDR_00288.jpg
EDCS-12200382	ILD 00120 = AE 1998, 01111	Dacia	Cartier Celei / Sucidava			milites; sigilla impressa; tituli fabricationis; tria nomina; viri	"L(egio) VII s(ub) c(ura) Ursa[ci F(lavi) Ar]guti of(ficina)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD005799;T178392 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD005799 | https://www.trismegistos.org/text/178392	43.768830	24.4565043	http://www.trismegistos.org/place/29841		
EDCS-45100192	ILD 00122	Dacia	Cartier Celei / Sucidava			milites; nomen singulare; sigilla impressa; tituli fabricationis; viri	"[Leg(io)] VII s(ub) c(ura) Ur[saci]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T397298 | https://www.trismegistos.org/text/397298	43.768830	24.4565043	http://www.trismegistos.org/place/29841		
EDCS-44800145	ILD 00100 = CERom-19/20, 00839	Dacia	Cioroiu Nou / Aquae			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T397292 | https://www.trismegistos.org/text/397292	44.0635148	23.4321581	http://www.trismegistos.org/place/30125		
EDCS-11200696	IDR-02, 00100a	Dacia	Drobeta-Turnu Severin / Drobeta			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia) F(idelis)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395778 | https://www.trismegistos.org/text/395778	44.6369227	22.6597342	http://www.trismegistos.org/place/29680		
EDCS-11200697	IDR-02, 00100b	Dacia	Drobeta-Turnu Severin / Drobeta			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395779 | https://www.trismegistos.org/text/395779	44.6369227	22.6597342	http://www.trismegistos.org/place/29680		
EDCS-11200698	IDR-02, 00100c = AE 1897, 00085b	Dacia	Drobeta-Turnu Severin / Drobeta	107	270	milites; sigilla impressa; tituli fabricationis	"Leg(io) VII C(laudia) P(ia) F(idelis)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD022769;T179120 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD022769 | https://www.trismegistos.org/text/179120	44.6369227	22.6597342	http://www.trismegistos.org/place/29680		
EDCS-11200699	IDR-02, 00100d	Dacia	Drobeta-Turnu Severin / Drobeta			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia) P(ia) F(idelis)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395780 | https://www.trismegistos.org/text/395780	44.6369227	22.6597342	http://www.trismegistos.org/place/29680		
EDCS-11200700	IDR-02, 00100e	Dacia	Drobeta-Turnu Severin / Drobeta			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII C(laudia) P(ia) F(idelis)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395781 | https://www.trismegistos.org/text/395781	44.6369227	22.6597342	http://www.trismegistos.org/place/29680		
EDCS-11200701	IDR-02, 00100f	Dacia	Drobeta-Turnu Severin / Drobeta			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII C(laudia) P(ia) F(idelis)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395782 | https://www.trismegistos.org/text/395782	44.6369227	22.6597342	http://www.trismegistos.org/place/29680		
EDCS-11200702	IDR-02, 00102 = ILD 00069 = CERom-06, 00387	Dacia	Drobeta-Turnu Severin / Drobeta			milites; sigilla impressa; tituli fabricationis	"[Le]g(io) VII C[l(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395783 | https://www.trismegistos.org/text/395783	44.6369227	22.6597342	http://www.trismegistos.org/place/29680		
EDCS-11200368	IDR-03-01, 00030b = ILD 00180b	Dacia	Gornea			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396170 | https://www.trismegistos.org/text/396170	44.6806973	21.8551886	http://www.trismegistos.org/place/36656		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IDR_03_01_00030b.jpg
EDCS-11200369	IDR-03-01, 00030c = ILD 00180c	Dacia	Gornea			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396171 | https://www.trismegistos.org/text/396171	44.6806973	21.8551886	http://www.trismegistos.org/place/36656		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IDR_03_01_00030c.jpg
EDCS-11200370	IDR-03-01, 00030d = ILD 00180d	Dacia	Gornea			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII C[l(audia)]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396172 | https://www.trismegistos.org/text/396172	44.6806973	21.8551886	http://www.trismegistos.org/place/36656		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IDR_03_01_00030d.jpg
EDCS-11200371	IDR-03-01, 00030e = ILD 00180e	Dacia	Gornea			milites; sigilla impressa; tituli fabricationis	"Leg(io) V[II] Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396173 | https://www.trismegistos.org/text/396173	44.6806973	21.8551886	http://www.trismegistos.org/place/36656		
EDCS-11200372	IDR-03-01, 00031	Dacia	Gornea			milites; nomen singulare; sigilla impressa; tituli fabricationis; viri	"S(ub) c(ura) Bubali p(rae)p(ositi) leg(io) VII Cl(audia) MVIT
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396174 | https://www.trismegistos.org/text/396174	44.6806973	21.8551886	http://www.trismegistos.org/place/36656		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IDR_03_01_00031.jpg
EDCS-11200340	IDR-03-01, 00001b	Dacia	Kovin / Contra Margum			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396153 | https://www.trismegistos.org/text/396153	44.7395711	20.9778466	http://www.trismegistos.org/place/29688		
EDCS-11200341	IDR-03-01, 00001c	Dacia	Kovin / Contra Margum			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396154 | https://www.trismegistos.org/text/396154	44.7395711	20.9778466	http://www.trismegistos.org/place/29688		
EDCS-11200342	IDR-03-01, 00001d	Dacia	Kovin / Contra Margum			milites; sigilla impressa; tituli fabricationis	"[Legio] VII Cl(audia) P(ia) F(idelis)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396155 | https://www.trismegistos.org/text/396155	44.7395711	20.9778466	http://www.trismegistos.org/place/29688		
EDCS-11200593	IDR-03-01, 00279b	Dacia	Lugoj			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII C(laudia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T396332 | https://www.trismegistos.org/text/396332	45.6909898	21.9034608	http://www.trismegistos.org/place/36691		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IDR_03_01_00279b.jpg
