EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-32201067	"CIL 03, 14248 (p 2328,114) = Legio-VII 00082"	Dalmatia	Solin / Salona	1	100	milites; viri	"l]eg(ionis) VII [Cl(audia) P(ia) F(idelis)] / [3]ia Leg[
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0036171;HD062028 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062028 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0036171	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00082.jpg
EDCS-32700263	"CIL 03, 14699 (p 2328,114) = Legio-VII 00078"	Dalmatia	Solin / Salona	42	100	milites; tituli sepulcrales; viri	"] T(iti) f(ilius) Q[uir(ina?) 3] / [3 leg(ionis)] VII C(laudiae) P(iae) [F(idelis) 3] / [3] Respe[ctus] / [3 A]basca[ntus
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061551 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD061551	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00078.jpg
EDCS-10101053	"ILJug-03, 02090 = Legio-VII 00056"	Dalmatia	Solin / Salona	1	50	milites; praenomen et nomen; viri	"M(arcus) Titius M(arci) f(ilius) S[er]/gia domo Isinda / eques leg(ionis) VII anno[r(um)] / XXXV stipend(iorum) X[3] / ex testament(o) fi[eri] / iussit arbitr[atu] / L(uci) Gelli M(arci) f(ilii) Serg[ia]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034434 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034434	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00056.jpg;$PF_ILJug-03_02090.jpg
EDCS-10101054	"ILJug-03, 02091 = Legio-VII 00004"	Dalmatia	Solin / Salona	1	40	milites; praenomen et nomen; tituli sepulcrales; viri	"L(ucius) Arruntius / domo Pasimoae / anno(rum) LV / [vet(eranus) leg(ionis)] VII h(ic) s(itus) e(st) / [testament]o fieri iussit / [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034435 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034435	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00004.jpg
EDCS-10101055	"ILJug-03, 02092 = Legio-VII 00038 = AE 1904, 00172"	Dalmatia	Solin / Salona	31	70	milites; praenomen et nomen; tituli sepulcrales; tria nomina; viri	"C(aius) Manticus / C(ai) f(ilius) Scap(tia) mil(es) / leg(ionis) VII C(laudiae) P(iae) F(idelis) / stip(endiorum) XXIIII / C(aius) Avinnius / [Post]umius / [3]s / [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033465 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD033465	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00038.jpg
EDCS-10101056	"ILJug-03, 02093 = Legio-VII 00069"	Dalmatia	Solin / Salona	42	70	liberti/libertae; milites; seviri Augustales; tituli sepulcrales; tria nomina; viri	] / signifer / leg(ionis) VII C(laudiae) P(iae) F(idelis) / C(aius) Clodius Felix / lib(ertus) / IIIIIIvir Aug(ustalis)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034436 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034436	43.5441591	16.4919213			
EDCS-10101067	"ILJug-03, 02105 = Legio-VII 00019"	Dalmatia	Solin / Salona	1	50	tituli sepulcrales; tria nomina; viri	"[3]ara [3]ilio / [3]t [ // Q(uintus) Ignienus / Q(uinti) f(ilius) Ani(ensi) Ferox / dom(o) Troade / [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034445 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034445	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00019.jpg
EDCS-10101234	"ILJug-03, 02280 = Legio-VII 00050"	Dalmatia	Solin / Salona	51	150	liberti/libertae; milites; mulieres; tituli sepulcrales; tria nomina; viri	"Pinaria C(ai) lib(erta) / [6] / patrono suo / C(aio) Pinario Scarpo / [ve]t(erano) leg(ionis) VII et filio / [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034679 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034679	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00050.jpg
EDCS-10101619	"ILJug-03, 02600 = Salone-01, 00004 = Legio-VII 00070"	Dalmatia	Solin / Salona	42	100	milites; mulieres; tituli sepulcrales; tria nomina; viri	"] / vet(erano) leg(ionis) VII C(laudiae) P(iae) F(idelis) / Neria Pieris / coniugi suo / et sibi
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035036 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035036	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Salone-01_00004.jpg;$Legio-VII_00070.jpg
EDCS-10101620	"ILJug-03, 02601 = Salone-01, 00005 = Legio-VII 00051"	Dalmatia	Solin / Salona	42	100	liberti/libertae; milites; nomen singulare; praenomen et nomen; tituli sepulcrales; viri	"Primigeniu[s] / P(ubli) Ploti |(centurionis) leg(ionis) / VII C(laudiae) P(iae) F(idelis) lib(ertus) an[n(orum)] / XX[3] h(ic) s(itus) e(st) / pat[ronus
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035037 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD035037	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Salone-01_00005.jpg;$Legio-VII_00051.jpg
